,FEvals,Fitness,Iteration,Mutation Rate,Population Size,Time,max_iters
0,150.0,4.0,0,0.4,150,0.002476981004292611,2048
1,302.0,17.0,1,0.4,150,0.015520871005719528,2048
2,453.0,17.0,2,0.4,150,0.02860417299962137,2048
3,604.0,17.0,3,0.4,150,0.04167707099986728,2048
4,755.0,17.0,4,0.4,150,0.05058623399963835,2048
5,907.0,18.0,5,0.4,150,0.06404284400196047,2048
6,1058.0,18.0,6,0.4,150,0.0730211770060123,2048
7,1209.0,18.0,7,0.4,150,0.08201969200308667,2048
8,1360.0,18.0,8,0.4,150,0.09098615200491622,2048
9,1511.0,18.0,9,0.4,150,0.10443398100323975,2048
10,1662.0,18.0,10,0.4,150,0.11343544600094901,2048
11,1813.0,18.0,11,0.4,150,0.12235690700617852,2048
12,1964.0,18.0,12,0.4,150,0.13130778200138593,2048
13,2115.0,18.0,13,0.4,150,0.14028269400296267,2048
14,2266.0,18.0,14,0.4,150,0.14926773300248897,2048
15,2417.0,18.0,15,0.4,150,0.15816119200462708,2048
16,2568.0,18.0,16,0.4,150,0.16708460800145986,2048
17,2719.0,18.0,17,0.4,150,0.18101471300178673,2048
18,2870.0,18.0,18,0.4,150,0.19000670700188493,2048
19,3021.0,18.0,19,0.4,150,0.19879189500352368,2048
20,3172.0,18.0,20,0.4,150,0.2077826900058426,2048
21,3323.0,18.0,21,0.4,150,0.21666262600047048,2048
22,3474.0,18.0,22,0.4,150,0.22556555300252512,2048
23,3625.0,18.0,23,0.4,150,0.23432035600126255,2048
24,3776.0,18.0,24,0.4,150,0.24317957799939904,2048
25,3927.0,18.0,25,0.4,150,0.2520220170044922,2048
26,4078.0,18.0,26,0.4,150,0.26085892300034175,2048
27,4229.0,18.0,27,0.4,150,0.26980623400595505,2048
28,4380.0,18.0,28,0.4,150,0.2786374839997734,2048
29,4531.0,18.0,29,0.4,150,0.28753901100571966,2048
30,4682.0,18.0,30,0.4,150,0.29650003400456626,2048
31,4833.0,18.0,31,0.4,150,0.3054664030059939,2048
32,4984.0,18.0,32,0.4,150,0.31433263700455427,2048
33,5135.0,18.0,33,0.4,150,0.3285051580023719,2048
34,5286.0,18.0,34,0.4,150,0.3374159700033488,2048
35,5437.0,18.0,35,0.4,150,0.3463800370009267,2048
36,5588.0,18.0,36,0.4,150,0.35528308000357356,2048
37,5739.0,18.0,37,0.4,150,0.36414247000357136,2048
38,5890.0,18.0,38,0.4,150,0.3730762890045298,2048
39,6041.0,18.0,39,0.4,150,0.38195961100427667,2048
40,6192.0,18.0,40,0.4,150,0.3908735840013833,2048
41,6343.0,18.0,41,0.4,150,0.39983560800465057,2048
42,6494.0,18.0,42,0.4,150,0.4087057590004406,2048
43,6645.0,18.0,43,0.4,150,0.41754249000223354,2048
44,6796.0,18.0,44,0.4,150,0.42639204400620656,2048
45,6947.0,18.0,45,0.4,150,0.4352623190061422,2048
46,7098.0,18.0,46,0.4,150,0.44416443000227446,2048
47,7249.0,18.0,47,0.4,150,0.45289945500553586,2048
48,7400.0,18.0,48,0.4,150,0.46183863199985353,2048
49,7551.0,18.0,49,0.4,150,0.47068379600386834,2048
50,7702.0,18.0,50,0.4,150,0.4796176599993487,2048
51,7853.0,18.0,51,0.4,150,0.48848919400188606,2048
52,8004.0,18.0,52,0.4,150,0.4973677960006171,2048
53,8155.0,18.0,53,0.4,150,0.5061819850016036,2048
54,8306.0,18.0,54,0.4,150,0.51504124100029,2048
55,8457.0,18.0,55,0.4,150,0.5239161490026163,2048
56,8608.0,18.0,56,0.4,150,0.5327974530009669,2048
57,8759.0,18.0,57,0.4,150,0.5416665869997814,2048
58,8910.0,18.0,58,0.4,150,0.5504735050053569,2048
59,9061.0,18.0,59,0.4,150,0.5593362780055031,2048
60,9212.0,18.0,60,0.4,150,0.568270162002591,2048
61,9363.0,18.0,61,0.4,150,0.5771661960025085,2048
62,9514.0,18.0,62,0.4,150,0.5861042880060268,2048
63,9665.0,18.0,63,0.4,150,0.594963554001879,2048
64,9816.0,18.0,64,0.4,150,0.6038940050057136,2048
65,9967.0,18.0,65,0.4,150,0.6184369480033638,2048
66,10118.0,18.0,66,0.4,150,0.6273589910051669,2048
67,10269.0,18.0,67,0.4,150,0.636241598003835,2048
68,10420.0,18.0,68,0.4,150,0.6452016620023642,2048
69,10571.0,18.0,69,0.4,150,0.6540921580017311,2048
70,10722.0,18.0,70,0.4,150,0.6630457070059492,2048
71,10873.0,18.0,71,0.4,150,0.6720521300012479,2048
72,11024.0,18.0,72,0.4,150,0.6809322469998733,2048
73,11175.0,18.0,73,0.4,150,0.6898217310008476,2048
74,11326.0,18.0,74,0.4,150,0.6986813200055622,2048
75,11477.0,18.0,75,0.4,150,0.7075813980045496,2048
76,11628.0,18.0,76,0.4,150,0.7164963160030311,2048
77,11779.0,18.0,77,0.4,150,0.7254583500034641,2048
78,11930.0,18.0,78,0.4,150,0.7343330170042464,2048
79,12081.0,18.0,79,0.4,150,0.7431840390054276,2048
80,12232.0,18.0,80,0.4,150,0.7521120460005477,2048
81,12383.0,18.0,81,0.4,150,0.7610728550062049,2048
82,12534.0,18.0,82,0.4,150,0.769939397003327,2048
83,12685.0,18.0,83,0.4,150,0.7788506130018504,2048
84,12836.0,18.0,84,0.4,150,0.7877413579990389,2048
85,12987.0,18.0,85,0.4,150,0.7966681489997427,2048
86,13138.0,18.0,86,0.4,150,0.8055444030032959,2048
87,13289.0,18.0,87,0.4,150,0.8144523209994077,2048
88,13440.0,18.0,88,0.4,150,0.8233590110030491,2048
89,13591.0,18.0,89,0.4,150,0.8323206980057876,2048
90,13742.0,18.0,90,0.4,150,0.8413094370043837,2048
91,13893.0,18.0,91,0.4,150,0.8501577850038302,2048
92,14044.0,18.0,92,0.4,150,0.8589415470050881,2048
93,14195.0,18.0,93,0.4,150,0.867839342005027,2048
94,14346.0,18.0,94,0.4,150,0.876678371001617,2048
95,14497.0,18.0,95,0.4,150,0.885598259003018,2048
96,14648.0,18.0,96,0.4,150,0.8945298990001902,2048
97,14799.0,18.0,97,0.4,150,0.9034025729997666,2048
98,14950.0,18.0,98,0.4,150,0.912310368999897,2048
99,15101.0,18.0,99,0.4,150,0.9212586810026551,2048
100,15252.0,18.0,100,0.4,150,0.9301531170058297,2048
101,15403.0,18.0,101,0.4,150,0.93912444000307,2048
102,15554.0,18.0,102,0.4,150,0.9481145400059177,2048
103,15705.0,18.0,103,0.4,150,0.9570420080053736,2048
104,15856.0,18.0,104,0.4,150,0.9659401120006805,2048
105,16007.0,18.0,105,0.4,150,0.97490675500012,2048
106,16158.0,18.0,106,0.4,150,0.9838216040006955,2048
107,16309.0,18.0,107,0.4,150,0.9927315040040412,2048
108,16460.0,18.0,108,0.4,150,1.0016166780042113,2048
109,16611.0,18.0,109,0.4,150,1.0104876309997053,2048
110,16762.0,18.0,110,0.4,150,1.0194013319996884,2048
111,16913.0,18.0,111,0.4,150,1.02832145299908,2048
112,17064.0,18.0,112,0.4,150,1.0371949280015542,2048
113,17215.0,18.0,113,0.4,150,1.0461485600026208,2048
114,17366.0,18.0,114,0.4,150,1.0549851390023832,2048
115,17517.0,18.0,115,0.4,150,1.063812347005296,2048
116,17668.0,18.0,116,0.4,150,1.0726990969997132,2048
117,17819.0,18.0,117,0.4,150,1.0816051980000339,2048
118,17970.0,18.0,118,0.4,150,1.0904618810018292,2048
119,18121.0,18.0,119,0.4,150,1.0993593279999914,2048
120,18272.0,18.0,120,0.4,150,1.1083123810021789,2048
121,18423.0,18.0,121,0.4,150,1.1171892179991119,2048
122,18574.0,18.0,122,0.4,150,1.1261129609993077,2048
123,18725.0,18.0,123,0.4,150,1.1349733320021187,2048
124,18876.0,18.0,124,0.4,150,1.1438881960057188,2048
125,19027.0,18.0,125,0.4,150,1.1528049810003722,2048
126,19178.0,18.0,126,0.4,150,1.1617593000046327,2048
127,19329.0,18.0,127,0.4,150,1.1706318180004018,2048
128,19480.0,18.0,128,0.4,150,1.1794954360011616,2048
129,19631.0,18.0,129,0.4,150,1.1948533350005164,2048
130,19782.0,18.0,130,0.4,150,1.2036942790000467,2048
131,19933.0,18.0,131,0.4,150,1.2125698310046573,2048
132,20084.0,18.0,132,0.4,150,1.2214401680030278,2048
133,20235.0,18.0,133,0.4,150,1.2307740850010305,2048
134,20386.0,18.0,134,0.4,150,1.2401672180058085,2048
135,20537.0,18.0,135,0.4,150,1.2492139720052364,2048
136,20688.0,18.0,136,0.4,150,1.2581621300050756,2048
137,20839.0,18.0,137,0.4,150,1.2670698410001933,2048
138,20990.0,18.0,138,0.4,150,1.2759968329992262,2048
139,21141.0,18.0,139,0.4,150,1.2850521210057195,2048
140,21292.0,18.0,140,0.4,150,1.2940619420041912,2048
141,21443.0,18.0,141,0.4,150,1.303128760002437,2048
142,21594.0,18.0,142,0.4,150,1.3121918239994557,2048
143,21745.0,18.0,143,0.4,150,1.3211489800014533,2048
144,21896.0,18.0,144,0.4,150,1.3300782730002538,2048
145,22047.0,18.0,145,0.4,150,1.3393257429997902,2048
146,22198.0,18.0,146,0.4,150,1.3483785839998745,2048
147,22349.0,18.0,147,0.4,150,1.3573497329998645,2048
148,22500.0,18.0,148,0.4,150,1.3662617670051986,2048
149,22651.0,18.0,149,0.4,150,1.3751471210052841,2048
150,22802.0,18.0,150,0.4,150,1.3840884490055032,2048
151,22953.0,18.0,151,0.4,150,1.3931273199996212,2048
152,23104.0,18.0,152,0.4,150,1.4021357250021538,2048
153,23255.0,18.0,153,0.4,150,1.4112748920015292,2048
154,23406.0,18.0,154,0.4,150,1.4203791480031214,2048
155,23557.0,18.0,155,0.4,150,1.4293122779999976,2048
156,23708.0,18.0,156,0.4,150,1.4383196420021704,2048
157,23859.0,18.0,157,0.4,150,1.4472070800038637,2048
158,24010.0,18.0,158,0.4,150,1.4561589869990712,2048
159,24161.0,18.0,159,0.4,150,1.46500097700482,2048
160,24312.0,18.0,160,0.4,150,1.473938437004108,2048
161,24463.0,18.0,161,0.4,150,1.4828454779999447,2048
162,24614.0,18.0,162,0.4,150,1.4917278890061425,2048
163,24765.0,18.0,163,0.4,150,1.5005992010046612,2048
164,24916.0,18.0,164,0.4,150,1.5094664550051675,2048
165,25067.0,18.0,165,0.4,150,1.5184457400027895,2048
166,25218.0,18.0,166,0.4,150,1.5273074220021954,2048
167,25369.0,18.0,167,0.4,150,1.5361627410020446,2048
168,25520.0,18.0,168,0.4,150,1.5450718130014138,2048
169,25671.0,18.0,169,0.4,150,1.5539557260053698,2048
170,25822.0,18.0,170,0.4,150,1.5628419280037633,2048
171,25973.0,18.0,171,0.4,150,1.571783707004215,2048
172,26124.0,18.0,172,0.4,150,1.5806452480028383,2048
173,26275.0,18.0,173,0.4,150,1.5894970080044004,2048
174,26426.0,18.0,174,0.4,150,1.5983585010035313,2048
175,26577.0,18.0,175,0.4,150,1.607225872001436,2048
176,26728.0,18.0,176,0.4,150,1.6161196360044414,2048
177,26879.0,18.0,177,0.4,150,1.6250715470014256,2048
178,27030.0,18.0,178,0.4,150,1.6339186800032621,2048
179,27181.0,18.0,179,0.4,150,1.6428592260053847,2048
180,27332.0,18.0,180,0.4,150,1.6518174760058173,2048
181,27483.0,18.0,181,0.4,150,1.6606690720000188,2048
182,27634.0,18.0,182,0.4,150,1.6695931450012722,2048
183,27785.0,18.0,183,0.4,150,1.678907640001853,2048
184,27936.0,18.0,184,0.4,150,1.6878876800037688,2048
185,28087.0,18.0,185,0.4,150,1.6968698620039504,2048
186,28238.0,18.0,186,0.4,150,1.7057646040047985,2048
187,28389.0,18.0,187,0.4,150,1.7146506610006327,2048
188,28540.0,18.0,188,0.4,150,1.723584325001866,2048
189,28691.0,18.0,189,0.4,150,1.7324900820021867,2048
190,28842.0,18.0,190,0.4,150,1.741772277004202,2048
191,28993.0,18.0,191,0.4,150,1.750795272004325,2048
192,29144.0,18.0,192,0.4,150,1.7597819040020113,2048
193,29295.0,18.0,193,0.4,150,1.768795512005454,2048
194,29446.0,18.0,194,0.4,150,1.7778633760026423,2048
195,29597.0,18.0,195,0.4,150,1.786686733001261,2048
196,29748.0,18.0,196,0.4,150,1.7957111870055087,2048
197,29899.0,18.0,197,0.4,150,1.804739621002227,2048
198,30050.0,18.0,198,0.4,150,1.8136694230051944,2048
199,30201.0,18.0,199,0.4,150,1.8226613810038543,2048
200,30352.0,18.0,200,0.4,150,1.831645849000779,2048
201,30503.0,18.0,201,0.4,150,1.8405970680032624,2048
202,30654.0,18.0,202,0.4,150,1.849685090004641,2048
203,30805.0,18.0,203,0.4,150,1.858748573999037,2048
204,30956.0,18.0,204,0.4,150,1.867829590999463,2048
205,31107.0,18.0,205,0.4,150,1.876819819000957,2048
